Rank,Country,Continent,Cumulative Volume,Lat,Long
129,Mongolia,Asia,140,46.862496,103.846656
130,Burkina Faso,Africa,135,12.238333,-1.561593
131,Tajikistan,Asia,128,38.861034,71.276093
132,Morocco,Africa,109,31.791702,-7.09262
133,Botswana,Africa,106,-22.328474,24.684866
133,Iceland,Europe,106,64.963051,-19.020835
135,Turks and Caicos Islands,North America,103,21.694025,-71.797928
136,Vatican City,Europe,94,41.902916,12.453389
137,Bermuda,North America,78,32.321384,-64.75737
138,Dominica,North America,65,15.414999,-61.370976
138,Bhutan,Asia,65,27.514162,90.433601
140,Djibouti,Africa,57,11.825138,42.590275
141,South Sudan,Africa,52,7.8627,29.6947
142,Fiji,Oceania,50,-16.578193,179.414413
143,Eswatini,Africa,48,-26.5225,31.4659
144,Curacao,North America,46,12.1696,-68.99
145,Chad,Africa,32,15.454166,18.732207
145,British Virgin Islands,North America,32,18.420695,-64.639968
147,Congo (Kinshasa),Africa,30,-4.0383,21.7587
148,French Polynesia,Oceania,29,-17.679742,-149.406843
149,Andorra,Europe,26,42.546245,1.601554
150,Montenegro,Europe,25,42.708678,19.37439
151,Malawi,Africa,23,-13.254308,34.301525
152,Anguilla,North America,16,18.220554,-63.068615
152,Angola,Africa,16,-11.202692,17.873887
154,Zimbabwe,Africa,15,-19.015438,29.154857
155,Netherlands Antilles (through Apr 2011),North America,12,12.1,-68.9
156,Mauritius,Africa,8,-20.348404,57.552152
157,Kiribati,Oceania,7,-3.370417,-168.734039
158,China,Asia,6,35.86166,104.195397
158,Azerbaijan,Asia,6,40.143105,47.576927
158,Venezuela,South America,6,6.42375,-66.58973
161,Mozambique,Africa,2,-18.665695,35.529562
162,Central African Republic,Africa,1,6.611111,20.939444
162,Ethiopia,Africa,1,9.145,40.489673
